target_id,gene_name,gene_type,V4,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MSTRG.23298.6,NA,NA,NA,1.13321686056647e-05,0.0010754904038216,0.84210215943983,0.191820386255059,5.97720028750115,0.256894886779615,0.00548996521299608,0.0497026256615641,0.0269645331692583,0.0497026256615641
MSTRG.16460.1,NA,NA,NA,1.14353074544938e-05,0.00108195699914452,-0.86387339693649,0.19686797146863,5.65929097365206,0.270391571608585,0.0145792747423005,0.0435562225429594,0.03103951942757,0.0435562225429594
MSTRG.6.1,NA,NA,NA,1.18584416852805e-05,0.00111573790737193,-0.595174197972651,0.135879112869288,6.27563327849052,0.108136380700965,0.00375774766803343,-0.00142439401647299,0.0239369523031836,0.0239369523031836
MSTRG.3269.10,NA,NA,NA,1.20179988265968e-05,0.00112323703983199,-0.908850983934237,0.207630061032225,6.9188323156249,0.299535323992564,0.00323023717788075,0.0614351261884876,0.0187306173173815,0.0614351261884876
MSTRG.794.2,NA,NA,NA,1.36055831970528e-05,0.0012354038740855,-0.66507781641803,0.152886825514699,6.13116766807061,0.160747808266567,0.00934524567569524,0.0257163264482479,0.025333562613272,0.0257163264482479
MSTRG.15276.13,NA,NA,NA,1.36921424014513e-05,0.00124121991649333,-0.628547250489132,0.144535459691431,6.18741311284213,0.126692848361441,0.0065589622892612,0.00365523087599713,0.0247767863730589,0.0247767863730589
MSTRG.17440.13,NA,NA,NA,1.37380363331139e-05,0.00124404404764572,2.07274359434872,0.476711215728914,5.20982821593466,1.47809596328294,0.302038920992583,-0.0655187198565241,0.0388414538100255,0.0388414538100255
MSTRG.4174.2,NA,NA,NA,1.3800460616306e-05,0.00124769706401144,0.58516909905503,0.134614094696044,6.5551151190599,0.124472007735665,0.0025288710681743,0.024652560668079,0.0214623748533625,0.024652560668079
MSTRG.5912.2,NA,NA,NA,1.5845405447495e-05,0.00140473181045402,1.48930360160589,0.345018095583004,5.47981960226723,0.808252548862549,0.0141136426261913,0.164442586793393,0.0339514742899317,0.164442586793393
MSTRG.3635.9,NA,NA,NA,1.59178801247731e-05,0.00140967610586619,1.28402361496536,0.297531573609496,4.95906324582695,0.600845037890065,0.0111139231532593,0.121673632788555,0.0430361447574278,0.121673632788555
MSTRG.1100.3,NA,NA,NA,1.83818830655785e-05,0.00160266093500582,0.647740776254128,0.151210929904258,7.14418000075671,0.153308128353702,0.00130903520455827,0.0329880827792072,0.0173431669339861,0.0329880827792072
MSTRG.13307.1,NA,NA,NA,2.02777699589393e-05,0.00173392396274022,0.651215079764263,0.15280246192203,6.33149107857674,0.132324281024624,0.0115998836304515,-0.00522493739181165,0.0234230049236986,0.0234230049236986
MSTRG.24732.1,NA,NA,NA,2.03931293713521e-05,0.0017369368477312,2.36425678718596,0.55491918809021,3.02416729069706,2.0464354130993,0.145452404991996,0.31645055297405,0.231817941581696,0.31645055297405
MSTRG.28280.5,NA,NA,NA,2.0478030109175e-05,0.00174079560053297,-1.09383634765241,0.2567923680256,5.08960714958945,0.438074170965102,0.011544057552117,0.0873694228621759,0.0408343863474576,0.0873694228621759
MSTRG.13469.29,NA,NA,NA,2.10877392491883e-05,0.00178330854650676,1.28286292822848,0.30163355332129,4.58027210857363,0.524932887804032,0.0848748660804877,-0.0458602410590526,0.0515993346533534,0.0515993346533534
MSTRG.14694.9,NA,NA,NA,2.12746084051903e-05,0.00179551312557284,0.88289288301824,0.207686927077524,6.72423513426096,0.285610584479963,0.0232307059578681,0.0414700835604888,0.0201106322566554,0.0414700835604888
MSTRG.16409.18,NA,NA,NA,2.14216739420872e-05,0.00180546028892384,5.71866954160597,1.34571720404463,2.67427522387398,10.373226939802,2.36702321022782,-1.66418253275976,0.349408979664734,0.349408979664734
MSTRG.11576.1,NA,NA,NA,2.16878378244079e-05,0.00181406189183999,2.44022099297262,0.574606904011649,2.69642549018075,1.88655083812472,0.154107555792003,-0.028923443590218,0.341152085414776,0.341152085414776
MSTRG.17759.11,NA,NA,NA,2.16774777040364e-05,0.00181406189183999,1.71191805891118,0.403100838911597,4.93785890253658,1.07418737572534,0.0701863428073043,0.173549086689545,0.0434100016571736,0.173549086689545
MSTRG.27240.1,NA,NA,NA,2.24851846232629e-05,0.0018604726731858,2.33876468517444,0.55176903780225,3.82822303312297,2.0062849610784,0.0482895339890589,0.408384072626772,0.093609862713053,0.408384072626772
MSTRG.25623.7,NA,NA,NA,2.28381280506973e-05,0.00188119480668636,-0.866907669387074,0.204692646574474,5.86189698578202,0.242468219699484,0.0345346623116194,-0.0132727279030648,0.0283139570308741,0.0283139570308741
MSTRG.5318.9,NA,NA,NA,2.28361352839643e-05,0.00188119480668636,-1.2734243556636,0.300677227797286,4.02891776725519,0.594971031258214,0.0322021903788935,0.103408002594898,0.0784789059299976,0.103408002594898
MSTRG.13382.1,NA,NA,NA,2.29320071985384e-05,0.00188451081941095,3.88819320542806,0.918272920574531,2.16771998803347,5.54728410881365,0.379681906322553,0.885155828668166,0.600549722780952,0.885155828668166
MSTRG.23068.9,NA,NA,NA,2.39105781875077e-05,0.00195162579041691,1.89577079904622,0.448719658717112,3.54664322005006,1.31980327529794,0.0564412251189187,0.245582773059883,0.123317956686653,0.245582773059883
